                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.307,                0.62452,                0.96697,                 1.6984,                0.82369,                0.94263,                0.85939,                0.63335,                0.70776,                0.40902,                 1.1804,                0.49698,                0.93941,                 1.5023,                0.65833,                0.92615,               0.005644,               0.005644,               0.005644
                     69,                 1.3055,                0.62355,                0.96629,                 1.6973,                 0.8264,                0.94184,                0.86082,                0.63297,                0.70807,                0.40965,                 1.1784,                0.49629,                0.93892,                 1.5004,                0.65719,                0.92577,               0.005578,               0.005578,               0.005578
                     70,                 1.3093,                0.62265,                0.96486,                 1.7007,                0.82418,                0.93906,                0.86109,                0.63305,                0.70835,                0.41018,                 1.1768,                0.49549,                0.93844,                 1.4991,                0.65634,                0.92523,               0.005512,               0.005512,               0.005512
                     71,                 1.2974,                0.61713,                  0.965,                 1.6843,                0.80962,                0.94074,                0.86057,                0.63357,                0.70861,                0.41063,                 1.1751,                0.49463,                0.93805,                 1.4974,                0.65522,                0.92484,               0.005446,               0.005446,               0.005446
                     72,                  1.296,                0.61676,                0.96734,                  1.685,                 0.8085,                0.94207,                0.86044,                0.63446,                0.70911,                0.41118,                 1.1737,                0.49373,                 0.9379,                 1.4958,                0.65433,                 0.9247,                0.00538,                0.00538,                0.00538
                     73,                 1.2952,                0.61734,                0.96514,                 1.6807,                  0.814,                0.94182,                0.85996,                0.63503,                0.70939,                0.41156,                 1.1723,                0.49303,                0.93751,                 1.4945,                0.65348,                0.92438,               0.005314,               0.005314,               0.005314
                     74,                 1.2932,                0.61472,                0.96378,                 1.6793,                0.80549,                0.93904,                   0.86,                0.63594,                0.70974,                0.41192,                  1.171,                 0.4923,                0.93712,                 1.4932,                0.65279,                0.92395,               0.005248,               0.005248,               0.005248
                     75,                 1.2964,                0.61449,                0.96238,                  1.683,                0.80809,                0.93878,                0.86084,                0.63591,                0.70996,                0.41231,                 1.1695,                0.49143,                0.93655,                 1.4918,                0.65177,                0.92352,               0.005182,               0.005182,               0.005182
                     76,                 1.2917,                0.61314,                0.96225,                 1.6772,                0.80434,                 0.9388,                 0.8605,                0.63646,                0.71034,                0.41269,                 1.1681,                0.49063,                0.93604,                 1.4905,                0.65107,                0.92317,               0.005116,               0.005116,               0.005116
                     77,                 1.2891,                0.60926,                0.96254,                 1.6779,                0.80465,                0.93842,                0.85947,                0.63728,                0.71049,                  0.413,                 1.1667,                0.48986,                0.93555,                 1.4891,                0.65015,                0.92271,                0.00505,                0.00505,                0.00505
                     78,                 1.2873,                0.60804,                0.95869,                 1.6817,                0.80383,                0.93379,                0.85952,                0.63788,                 0.7108,                0.41328,                 1.1654,                0.48923,                0.93511,                 1.4878,                0.64926,                 0.9223,               0.004984,               0.004984,               0.004984
                     79,                 1.2847,                0.60728,                0.95911,                 1.6748,                 0.8028,                0.93408,                0.85974,                 0.6383,                 0.7111,                0.41367,                 1.1641,                0.48857,                0.93466,                 1.4865,                0.64814,                 0.9218,               0.004918,               0.004918,               0.004918
                     80,                 1.2834,                0.60361,                0.95751,                 1.6728,                0.79705,                0.93405,                0.85973,                0.63857,                0.71125,                0.41404,                 1.1627,                0.48782,                0.93423,                  1.485,                0.64764,                0.92131,               0.004852,               0.004852,               0.004852
                     81,                 1.2818,                0.60419,                0.95952,                 1.6698,                0.80159,                0.93501,                0.85934,                0.63932,                0.71146,                0.41432,                 1.1616,                0.48712,                0.93381,                  1.484,                0.64684,                0.92092,               0.004786,               0.004786,               0.004786
                     82,                 1.2809,                0.60518,                0.95853,                 1.6702,                0.80338,                0.93396,                0.85945,                0.63956,                 0.7118,                0.41464,                 1.1605,                0.48648,                0.93341,                 1.4828,                0.64598,                 0.9206,                0.00472,                0.00472,                0.00472
                     83,                 1.2746,                0.60142,                0.95647,                 1.6638,                0.79368,                0.93377,                 0.8603,                 0.6395,                0.71193,                0.41493,                 1.1592,                0.48597,                0.93292,                 1.4817,                0.64523,                0.92025,               0.004654,               0.004654,               0.004654
                     84,                 1.2761,                0.60053,                0.95655,                 1.6672,                0.79844,                0.93311,                0.85933,                0.63989,                0.71197,                0.41516,                  1.158,                0.48538,                0.93249,                 1.4807,                0.64463,                 0.9199,               0.004588,               0.004588,               0.004588
                     85,                 1.2744,                0.59773,                0.95503,                 1.6627,                0.78843,                 0.9328,                0.85856,                0.64033,                0.71207,                0.41546,                 1.1568,                 0.4848,                0.93205,                 1.4795,                0.64404,                 0.9195,               0.004522,               0.004522,               0.004522
                     86,                 1.2699,                0.59682,                0.95379,                 1.6671,                 0.7936,                0.92934,                0.85958,                0.64018,                0.71238,                0.41581,                 1.1556,                0.48413,                0.93162,                 1.4783,                0.64315,                0.91914,               0.004456,               0.004456,               0.004456
